state,x,y
Andhra Pradesh,-112,-195
Arunachal Pradesh,262,144
Andaman Nicobar Islands,215,-279
Assam,179,82
Bihar,49,71
Chhattisgarh,-38,-38
Goa,-208,-188
Gujarat,-279,-19
Haryana,-162,156
Himachal Pradesh,-135,226
Jharkhand,36,13
Jammu Kashmir,-189,296
Karnataka,-180,-217
Kerala,-173,-307
Lakshadweep,-260,-303
Madhya Pradesh,-163,-2
Maharashtra,-215,-99
Manipur,245,42
Meghalaya,170,63
Mizoram,228,5
Nagaland,263,72
Odisha,17,-62
Punjab,-179,195
Rajasthan,-272,79
Sikkim,108,117
Tamil Nadu,-118,-288
Telangana,-106,-125
Tripura,198,15
Uttarakhand,-99,196
Uttar Pradesh,-79,105
West Bengal,94,0
